fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean
"1390","420115002000",1328A,32490.0617098952,1.58029671394439e-07,4.31542564192506e-07,2.30966442807257e-07,2.4312257137606e-08,2.37044507091658e-07,1.03327092834825e-07,8.50928999816209e-08,1.03327092834825e-07,0,,,,
"1391","420115405000",1333A,29223.9690158854,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1392","420115405000",1334A,33263.4392753843,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1393","420115405000",1332A,25590.1530452735,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1394","420115405000",1325A,29183.9473082376,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1395","420115405000",1330A,11584.3405838693,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1396","420115405000",1327A,28852.3194730583,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1397","420115405000",1331A,35274.2789453263,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1398","420115405000",1326A,22296.8543043329,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
"1399","420115405000",1329A,34871.2015093921,8.25448973812161e-07,1.66924125815348e-06,9.17165526457957e-08,5.50299315874774e-08,1.28403173704114e-07,7.33732421166366e-08,0,7.33732421166366e-08,0,,,,
