fid,InputID,TargetID
"1027","420104001000",1331A
"1028","420104001000",1326A
"1029","420104001000",1329A
"1030","420104001000",1328A
"1031","420104011000",1333A
"1032","420104011000",1334A
"1033","420104011000",1332A
"1034","420104011000",1325A
"1035","420104011000",1330A
"1036","420104011000",1327A
"1037","420104011000",1331A
"1038","420104011000",1326A
"1039","420104011000",1329A
"1040","420104011000",1328A
"1041","420104002000",1333A
"1042","420104002000",1334A
"1043","420104002000",1332A
"1044","420104002000",1325A
"1045","420104002000",1330A
"1046","420104002000",1327A
"1047","420104002000",1331A
"1048","420104002000",1326A
"1049","420104002000",1329A
"1050","420104002000",1328A
"1051","420104003000",1333A
"1052","420104003000",1334A
"1053","420104003000",1332A
"1054","420104003000",1325A
"1055","420104003000",1330A
"1056","420104003000",1327A
"1057","420104003000",1331A
"1058","420104003000",1326A
"1059","420104003000",1329A
"1060","420104003000",1328A
"1061","420104004000",1333A
"1062","420104004000",1334A
"1063","420104004000",1332A
"1064","420104004000",1325A
"1065","420104004000",1330A
"1066","420104004000",1327A
"1067","420104004000",1331A
"1068","420104004000",1326A
"1069","420104004000",1329A
"1070","420104004000",1328A
"1071","420112015000",1333A
"1072","420112015000",1334A
"1073","420112015000",1332A
"1074","420112015000",1325A
"1075","420112015000",1330A
"1076","420112015000",1327A
"1077","420112015000",1331A
"1078","420112015000",1326A
"1079","420112015000",1329A
"1080","420112015000",1328A
"1081","420112013000",1333A
"1082","420112013000",1334A
"1083","420112013000",1332A
"1084","420112013000",1325A
"1085","420112013000",1330A
"1086","420112013000",1327A
"1087","420112013000",1331A
"1088","420112013000",1326A
"1089","420112013000",1329A
"1090","420112013000",1328A
"1091","420111061000",1333A
"1092","420111061000",1334A
"1093","420111061000",1332A
"1094","420111061000",1325A
"1095","420111061000",1330A
"1096","420111061000",1327A
"1097","420111061000",1331A
"1098","420111061000",1326A
"1099","420111061000",1329A
"1100","420111061000",1328A
"1101","420102018000",1333A
"1102","420102018000",1334A
"1103","420102018000",1332A
"1104","420102018000",1325A
"1105","420102018000",1330A
"1106","420102018000",1327A
"1107","420102018000",1331A
"1108","420102018000",1326A
"1109","420102018000",1329A
"1110","420102018000",1328A
"1111","420115088000",1333A
"1112","420115088000",1334A
"1113","420115088000",1332A
"1114","420115088000",1325A
"1115","420115088000",1330A
"1116","420115088000",1327A
"1117","420115088000",1331A
"1118","420115088000",1326A
"1119","420115088000",1329A
"1120","420115088000",1328A
"1121","420114070000",1333A
"1122","420114070000",1334A
"1123","420114070000",1332A
"1124","420114070000",1325A
"1125","420114070000",1330A
"1126","420114070000",1327A
"1127","420114070000",1331A
"1128","420114070000",1326A
"1129","420114070000",1329A
"1130","420114070000",1328A
"1131","420114072000",1333A
"1132","420114072000",1334A
"1133","420114072000",1332A
"1134","420114072000",1325A
"1135","420114072000",1330A
"1136","420114072000",1327A
"1137","420114072000",1331A
"1138","420114072000",1326A
"1139","420114072000",1329A
"1140","420114072000",1328A
"1141","420107008000",1333A
"1142","420107008000",1334A
"1143","420107008000",1332A
"1144","420107008000",1325A
"1145","420107008000",1330A
"1146","420107008000",1327A
"1147","420107008000",1331A
"1148","420107008000",1326A
