城市,监测点,监测点代码,日期,aqi,PM2_5,pm10,co,no2,o3,so2,空气质量等级,首要污染物
武汉,沉湖七壕,1334A,2017/7/27,64,29,79,0.94,22,81,15,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/28,105,63,135,1.4,32,98,17,轻度污染,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/29,0,0,0,0,0,0,0,,
武汉,沉湖七壕,1334A,2017/7/30,59,38,69,0.93,5,78,13,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/7/31,50,28,53,0.92,5,43,14,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/1,26,13,26,0.69,4,23,14,优,
武汉,沉湖七壕,1334A,2017/8/2,28,14,28,0.74,3,33,14,优,
武汉,沉湖七壕,1334A,2017/8/3,38,23,37,0.88,7,64,10,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/4,48,26,49,0.88,18,59,2,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/5,47,19,49,0.88,15,69,1,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/6,50,22,51,0.86,8,70,2,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/7,46,20,47,0.84,13,59,2,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/8,36,17,37,0.92,6,67,3,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/9,31,15,26,1,2,81,5,优,
武汉,沉湖七壕,1334A,2017/8/10,36,14,36,0.84,7,80,6,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/11,42,18,43,0.73,16,45,5,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/12,14,6,11,0.63,5,38,5,优,
武汉,沉湖七壕,1334A,2017/8/13,21,7,20,0.75,6,47,6,优,
武汉,沉湖七壕,1334A,2017/8/14,44,22,45,0.95,8,66,6,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/15,54,32,58,1.06,7,90,6,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/16,41,24,41,0.88,11,56,5,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/17,24,7,22,0.72,8,47,5,优,
武汉,沉湖七壕,1334A,2017/8/18,33,11,34,0.77,7,55,5,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/19,39,14,39,0.8,10,64,7,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/20,46,21,51,0.87,15,67,8,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/21,53,23,59,1.11,17,64,9,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/22,61,29,73,1.13,13,86,11,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/23,58,28,64,1.06,11,124,10,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/24,59,35,64,0.98,20,47,11,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/25,74,48,38,0.94,17,62,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/8/26,48,19,48,0.93,11,106,9,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/27,52,26,57,1,13,83,10,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/28,38,15,35,0.71,8,69,8,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/29,46,18,47,1.14,7,104,8,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/8/30,23,7,19,0.83,6,71,9,优,
武汉,沉湖七壕,1334A,2017/8/31,28,12,28,0.71,6,65,11,优,
武汉,沉湖七壕,1334A,2017/9/1,35,12,35,0.83,8,72,13,优,
武汉,沉湖七壕,1334A,2017/9/2,36,19,37,0.99,19,31,13,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/3,24,12,15,0.87,6,63,12,优,
武汉,沉湖七壕,1334A,2017/9/4,33,16,32,0.89,5,80,14,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/5,44,21,45,1.01,10,54,14,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/9/6,34,15,30,1,5,64,15,优,
武汉,沉湖七壕,1334A,2017/9/7,40,16,38,0.8,9,87,11,优,颗粒物(PM10)
